Id,Target
36c2908477b59e0c,3
1bfb76e7780b79e1,6
0c1b089e840e1175,7
c1058d8c21cbf37d,4
469ccd3c914a7965,3
52d79320f6c12cf2,3
65a9ba8d1a161208,12
d13ec86fa2ecc952,7
d920ddf4fabc0b8d,5
576c9ec55bd2082e,10
99bba4a45074b0ac,2
c4fdded23398364b,3
e30eb8b3259135f9,12
448eaa50b026442f,12
f8b4be8dffab55bb,5
d7850bd9180e9ff2,12
fe644828061d1ed5,1
ad7a5fe0fb65350f,4
eec46598e957667e,12
49031b8d0da56786,12
fd0f8882f7cb7951,3
ceb11a44e7725ac3,11
c2d3576c5ebece17,3
af1efc9932229731,12
c0b7cf078d02ab87,12
e7fec8250d823969,5
871e9f4459c36245,12
ff94d1e72c363ad9,12
733bb5aebf324ac4,12
e02def393766f78e,2
9090fb51dbc75f11,4
9033cf5ebe430d7a,6
4737d2efc9d58a85,6
dc0647afd2cff766,10
5febf658f37d3227,13
3b3802f3351b4e59,12
5bea622feaa33b67,4
0a3b6af65b53d0fc,12
8ba8351f79ad47ad,8
846cc1e97037a948,0
b9cabbd291629d00,3
8088c53c876f71c1,6
9c22315ce376552e,6
d281794fd4bda99e,3
f55cd0203ed63807,3
02d467d511191947,0
65cde34516b082b1,6
79f796693040f903,12
69c3cebf97575441,12
1521e57353eafa99,12
ab8a6cf66583de2a,12
f7126cafc3b67246,7
e30d6949e5bdfec4,12
766d9347fe5a9ae8,5
0396565da206eb5f,11
0434605993442907,3
c2731d465a5011c9,5
97187a690d8a52fc,6
ea57cfd0d464b674,3
c892603b630395ff,3
41aa819feffa5ef9,6
af431e54a96714da,3
d1a43b17358ad8ac,6
3f5c77411e0c4fd3,3
0681c7b2fa4f9c56,11
0e043cb5191b6bda,3
cebb698b4fdc06b8,3
e75391a7213bbaf0,3
76af0d79caf41872,4
6d7d1a2383cf2508,3
23ce50704828dfd2,7
b9c5368aafdc24bc,7
af2c237c94db4167,3
dc7e6ad0b11ccb1b,6
1f5418261313dc3d,12
6fac6cb3d5a44ee0,12
df790334e1c97703,1
8841241765447956,12
d869b26cfbff0666,3
646d653667979fff,3
a1458595ea8611a4,12
6cc82aa2acdd791a,3
8117d4a924fa49b0,8
cf433516e8f81245,12
99a42969502e53c6,7
f18f650ed82a380f,6
0f158fcc7fcb1850,12
468aaee5ec4f800c,12
b4638160bc4eeb06,4
eeec0fe694406f6b,6
965a5f02aaa0339a,5
de3f321549054258,3
6e9a34e08dee5145,12
accd6b2cc64695df,12
99f4c0910b750043,12
06659523f1314c32,3
e315b68952eaa52c,11
0b8cece9896f105f,12
f83660693723b4c3,0
1c1383b06c2d6831,6
be49123067ac474d,4
6cdb523b114140bb,12
2dff486e0a656764,12
e65b31871efc727b,12
a13846b8f8cf8c69,3
69e122ff2070b9a7,6
ac883ed3a5501277,8
0d5e812890a0c3fd,3
9bd253db467b4f5a,12
99003007a731af2d,5
45b8c8266b414054,3
9f68d852204218ee,6
13b298ee024d8119,4
52f11a99027866a7,6
0ba632baca41f553,12
d8284a6afb735c06,1
7d251b44cff2cceb,3
d35dda4bb7d1b684,12
3c672e21d5db0c17,3
5938f88133565b63,12
e31b80e02603418e,4
ed3b400bc990ce9c,12
6502aea2306632ca,6
36f0be92ac3645b7,12
4845fcf4f614142b,3
